tas,"	Year", Month, Country, ISO3, ISO2
24.5662,1950,3,BRB,,
25.5325,1950,4,BRB,,
25.9651,1950,5,BRB,,
26.1313,1950,6,BRB,,
26.3651,1950,7,BRB,,
26.7651,1950,8,BRB,,
26.9988,1950,9,BRB,,
26.7325,1950,10,BRB,,
26.4988,1950,11,BRB,,
25.3325,1950,12,BRB,,
24.1662,1951,1,BRB,,
24.2662,1951,2,BRB,,
24.5662,1951,3,BRB,,
25.4662,1951,4,BRB,,
26.1651,1951,5,BRB,,
26.0313,1951,6,BRB,,
26.0651,1951,7,BRB,,
26.3651,1951,8,BRB,,
26.4988,1951,9,BRB,,
26.5325,1951,10,BRB,,
26.2988,1951,11,BRB,,
25.3662,1951,12,BRB,,
24.5662,1952,1,BRB,,
24.7662,1952,2,BRB,,
25.3662,1952,3,BRB,,
25.8325,1952,4,BRB,,
26.6651,1952,5,BRB,,
26.4313,1952,6,BRB,,
25.8651,1952,7,BRB,,
26.3651,1952,8,BRB,,
26.3988,1952,9,BRB,,
26.8325,1952,10,BRB,,
25.8988,1952,11,BRB,,
24.9325,1952,12,BRB,,
24.5662,1953,1,BRB,,
24.1662,1953,2,BRB,,
24.6662,1953,3,BRB,,
25.6325,1953,4,BRB,,
25.9651,1953,5,BRB,,
26.2313,1953,6,BRB,,
26.6651,1953,7,BRB,,
26.9651,1953,8,BRB,,
26.7988,1953,9,BRB,,
26.6325,1953,10,BRB,,
26.4651,1953,11,BRB,,
25.1325,1953,12,BRB,,
24.6,1954,1,BRB,,
24.6662,1954,2,BRB,,
26.0337,1954,3,BRB,,
25.5662,1954,4,BRB,,
26.5988,1954,5,BRB,,
26.3313,1954,6,BRB,,
26.2988,1954,7,BRB,,
26.6988,1954,8,BRB,,
26.4325,1954,9,BRB,,
25.7325,1954,10,BRB,,
24.9651,1954,11,BRB,,
24.7662,1954,12,BRB,,
24.2662,1955,1,BRB,,
24.3662,1955,2,BRB,,
24.7999,1955,3,BRB,,
25.5662,1955,4,BRB,,
26.2988,1955,5,BRB,,
26.0313,1955,6,BRB,,
25.9651,1955,7,BRB,,
26.5988,1955,8,BRB,,
25.8988,1955,9,BRB,,
26.1325,1955,10,BRB,,
25.7988,1955,11,BRB,,
25.5662,1955,12,BRB,,
24.6662,1956,1,BRB,,
24.6,1956,2,BRB,,
25.1,1956,3,BRB,,
25.8662,1956,4,BRB,,
26.2988,1956,5,BRB,,
26.1651,1956,6,BRB,,
25.9988,1956,7,BRB,,
25.9988,1956,8,BRB,,
26.2988,1956,9,BRB,,
25.8325,1956,10,BRB,,
25.5988,1956,11,BRB,,
24.9662,1956,12,BRB,,
24.2,1957,1,BRB,,
24.2,1957,2,BRB,,
24.6662,1957,3,BRB,,
25.0325,1957,4,BRB,,
25.9651,1957,5,BRB,,
26.4988,1957,6,BRB,,
26.2988,1957,7,BRB,,
26.5988,1957,8,BRB,,
26.4988,1957,9,BRB,,
26.2325,1957,10,BRB,,
25.9988,1957,11,BRB,,
25.4662,1957,12,BRB,,
24.5662,1958,1,BRB,,
25.0662,1958,2,BRB,,
26.4662,1958,3,BRB,,
27.0325,1958,4,BRB,,
26.4651,1958,5,BRB,,
26.7313,1958,6,BRB,,
26.2651,1958,7,BRB,,
26.6651,1958,8,BRB,,
26.5988,1958,9,BRB,,
26.5662,1958,10,BRB,,
25.8988,1958,11,BRB,,
25.5325,1958,12,BRB,,
25,1959,1,BRB,,
24.5662,1959,2,BRB,,
25.2999,1959,3,BRB,,
25.8662,1959,4,BRB,,
25.6651,1959,5,BRB,,
26.4313,1959,6,BRB,,
26.1651,1959,7,BRB,,
26.6988,1959,8,BRB,,
27.2325,1959,9,BRB,,
26.1325,1959,10,BRB,,
26.0988,1959,11,BRB,,
26.4662,1959,12,BRB,,
25.2662,1960,1,BRB,,
24.9662,1960,2,BRB,,
25.3662,1960,3,BRB,,
25.7325,1960,4,BRB,,
26.6651,1960,5,BRB,,
26.5313,1960,6,BRB,,
26.2988,1960,7,BRB,,
26.5988,1960,8,BRB,,
26.6988,1960,9,BRB,,
26.5325,1960,10,BRB,,
26.2988,1960,11,BRB,,
25.7662,1960,12,BRB,,
25.2999,1961,1,BRB,,
25.1,1961,2,BRB,,
26.0337,1961,3,BRB,,
26.2662,1961,4,BRB,,
26.5988,1961,5,BRB,,
26.5651,1961,6,BRB,,
26.2988,1961,7,BRB,,
26.4988,1961,8,BRB,,
26.7325,1961,9,BRB,,
26.1662,1961,10,BRB,,
25.9988,1961,11,BRB,,
25.7662,1961,12,BRB,,
24.7,1962,1,BRB,,
24.6,1962,2,BRB,,
25.0325,1962,3,BRB,,
26.0662,1962,4,BRB,,
27.1988,1962,5,BRB,,
26.6313,1962,6,BRB,,
26.4651,1962,7,BRB,,
26.5988,1962,8,BRB,,
26.3988,1962,9,BRB,,
26.6325,1962,10,BRB,,
26.2988,1962,11,BRB,,
25.5325,1962,12,BRB,,
25.3662,1963,1,BRB,,
25.2,1963,2,BRB,,
25.4,1963,3,BRB,,
26.1662,1963,4,BRB,,
26.5988,1963,5,BRB,,
26.6651,1963,6,BRB,,
26.2651,1963,7,BRB,,
27.0651,1963,8,BRB,,
26.5988,1963,9,BRB,,
26.6325,1963,10,BRB,,
26.2988,1963,11,BRB,,
26.0325,1963,12,BRB,,
24.7662,1964,1,BRB,,
25.3662,1964,2,BRB,,
25.7,1964,3,BRB,,
26.0662,1964,4,BRB,,
26.4988,1964,5,BRB,,
26.2651,1964,6,BRB,,
26.0651,1964,7,BRB,,
26.5988,1964,8,BRB,,
26.2988,1964,9,BRB,,
25.9325,1964,10,BRB,,
25.8651,1964,11,BRB,,
24.1325,1964,12,BRB,,
24.6,1965,1,BRB,,
24.4,1965,2,BRB,,
25.2662,1965,3,BRB,,
25.1325,1965,4,BRB,,
26.3651,1965,5,BRB,,
26.2651,1965,6,BRB,,
26.1651,1965,7,BRB,,
26.5651,1965,8,BRB,,
26.5988,1965,9,BRB,,
26.2325,1965,10,BRB,,
26.6988,1965,11,BRB,,
25.8325,1965,12,BRB,,
25.3662,1966,1,BRB,,
24.5662,1966,2,BRB,,
25.0662,1966,3,BRB,,
25.8325,1966,4,BRB,,
26.1651,1966,5,BRB,,
26.0313,1966,6,BRB,,
